feature,importance
num__creditscore,0.4000051248544807
num__risk_rating_no,0.17929893163185845
num__current_interest_rate,0.12787235646566264
num__jobstimeofinvestment,0.07375171643337865
num__times_extended,0.046142586377130305
num__starting_interest_rate,0.045949428156251644
num__annualgrossrevenue,0.041102440627258666
num__grossrevattimeofinv,0.025634969238664602
num__business_age_years,0.025052622573588847
num__loan_age_months,0.00799852180889377
num__times_renewed,0.006080964529444239
num__current_principal_balance,0.005282204321087086
num__current_payoff_balance,0.0042271301650763145
num__original_note_amount,0.0019039051606234841
cat__loan_group_no_7,0.001020235292758554
cat__portfolio_code_id_5,0.000932327869234556
cat__bankedatintake_1,0.0006628369174820521
cat__contractualjurisdiction_CA,0.0006561134068800748
cat__bankedatintake_0,0.0004877155297731803
cat__entitystructure_3,0.0004647229545736799
cat__contractualjurisdiction_NY,0.000463890616373595
cat__loan_group_no_1,0.0004500570484417961
cat__naicscode_541511,0.0004157355233649661
cat__entitystructure_2,0.0003750715547772882
cat__naicscode_238210,0.0003596869580115224
cat__portfolio_code_id_6,0.00033371955134930904
cat__contractualjurisdiction_IL,0.0003251097957514246
cat__entitystructure_6,0.0003120906028940293
cat__loan_type_8,0.00020746242828324692
cat__naicscode_621111,0.0001911213511455704
cat__portfolio_code_id_1,0.00018458178764842496
cat__loan_type_5,0.00017406987287447585
cat__entitystructure_4,0.0001704568188184034
cat__loan_group_no_4,0.000162814908923518
cat__loan_group_no_6,0.00015866297038971114
cat__entitystructure_1,0.00014918531700715813
cat__portfolio_code_id_3,0.00014382856697132759
cat__investeetype_5,0.00013063664718060216
cat__contractualjurisdiction_NC,0.00010175169689067632
cat__loan_type_1,9.988031406589533e-05
cat__entity_LLC,8.23923854750301e-05
cat__entity_Sole Proprietor,7.608578027527399e-05
cat__loan_type_2,7.233816951437969e-05
cat__investeetype_1,7.135375643442575e-05
cat__investeetype_4,5.894621868971208e-05
cat__contractualjurisdiction_AZ,5.6386858105565024e-05
cat__naicscode_236220,3.9727884427819305e-05
cat__investeetype_3,3.6470172127500995e-05
cat__naicscode_445110,3.6214228783972936e-05
cat__contractualjurisdiction_WA,3.085417535269585e-05
cat__investeetype_2,2.5617255492389923e-06
cat__contractualjurisdiction_FL,0.0
cat__entity_Partnership,0.0
cat__naicscode_484110,0.0
cat__naicscode_531210,0.0
cat__entity_Corp,0.0
cat__loan_type_4,0.0
cat__entitystructure_5,0.0
cat__contractualjurisdiction_GA,0.0
cat__loan_group_no_9,0.0
cat__loan_group_no_8,0.0
cat__contractualjurisdiction_OH,0.0
cat__loan_group_no_5,0.0
cat__loan_group_no_3,0.0
cat__loan_group_no_2,0.0
cat__contractualjurisdiction_TX,0.0
cat__portfolio_code_id_4,0.0
cat__portfolio_code_id_2,0.0
cat__loan_type_3,0.0
cat__loan_type_7,0.0
cat__loan_type_6,0.0
cat__naicscode_722511,0.0
