creditscore,annualgrossrevenue,grossrevattimeofinv,naicscode,entitystructure,investeetype,bankedatintake,jobstimeofinvestment,business_age_years,original_note_amount,current_interest_rate,starting_interest_rate,loan_type,portfolio_code_id,loan_group_no,entity,risk_rating_no,loan_age_months,times_renewed,times_extended,current_principal_balance,current_payoff_balance,contractualjurisdiction,is_default
666,668414.76,693573.56,621111,5,3,1,6,11.9,134784.44,15.2117,16.4865,1,4,6,Partnership,7,31.8,1,1,92261.53,79386.69,AZ,1
629,845846.71,901265.68,531210,6,5,0,10,9.2,328654.02,14.4057,13.1343,1,2,3,Corp,5,31.7,0,2,180217.56,169299.97,NY,0
849,508821.37,448011.4,236220,3,3,1,30,8.7,210719.9,9.6988,10.0494,7,6,6,Partnership,4,14.4,1,0,124945.72,118989.23,OH,0
688,281092.65,277916.58,722511,6,2,0,14,13.9,170017.27,6.834,6.6595,7,2,6,Corp,5,24.3,1,2,145412.42,133579.85,FL,1
626,1381512.18,1576392.6,445110,2,4,1,14,16.9,193471.33,3.5,3.6443,4,5,7,Sole Proprietor,3,37.6,0,1,142727.87,129842.14,TX,0
715,2097657.93,1802418.88,541511,2,5,1,16,6.8,405355.04,4.3427,4.3201,7,5,7,Sole Proprietor,4,23.9,0,0,214771.15,222593.46,WA,0
736,638053.81,633284.5,541511,1,4,0,11,10.8,181452.16,8.5546,9.19,3,5,9,LLC,1,44.7,2,1,115739.08,116851.37,GA,0
570,558256.93,635878.05,541511,6,4,0,19,4.9,91843.6,16.0548,17.9068,6,5,8,Partnership,4,24.4,1,2,67320.16,69245.03,NC,1
603,440510.25,513068.75,621111,1,1,0,8,2.6,144735.09,11.5856,12.9201,7,3,4,Corp,6,8.5,1,0,69066.28,62843.58,GA,1
550,2449236.39,2973023.44,238210,1,4,0,14,11.8,195570.25,11.4012,10.285,2,5,9,LLC,1,37.2,0,0,109806.95,101862.49,IL,0
633,1074128.54,1176232.21,445110,4,5,0,22,13.4,114630.2,9.7423,10.3081,4,6,6,Corp,4,33.6,1,2,90979.55,83469.41,CA,0
714,1999760.2,1776485.44,621111,5,2,1,18,16.9,234706.85,7.3076,7.2732,3,6,1,LLC,1,23.9,0,1,215435.91,197785.33,NC,0
629,573297.91,715615.04,722511,5,2,1,4,11.1,149862.31,11.8128,12.697,7,1,7,Corp,1,15.5,0,2,111162.18,101958.45,NY,0
710,1570549.92,1356955.45,236220,1,1,0,16,6.9,132870.81,8.1436,8.8082,6,5,5,LLC,4,28,1,2,123065.91,108793.07,OH,0
648,1133083.01,1378463.56,541511,6,2,1,29,14.9,215290.19,15.5832,17.5655,7,2,2,Partnership,5,4.8,0,0,162060.69,156762.11,AZ,0
719,802608.25,842208.8,236220,3,4,0,6,12.8,199551.84,8.8502,8.1149,8,2,6,LLC,4,31.8,0,2,130595.75,123241.7,TX,0
500,890547.52,1060901.13,722511,4,1,1,20,2,194480.83,11.3409,11.5478,1,3,1,Sole Proprietor,6,29.7,1,1,112139.17,99958.23,IL,1
649,441754.13,441349.87,238210,1,1,0,15,12.5,234517.17,8.1811,8.2334,2,6,3,Corp,4,32.1,2,0,212592.28,205871.45,CA,0
684,339342.2,312784.62,531210,4,2,0,6,10,125904.19,13.6064,12.8751,8,2,6,Partnership,7,40.1,1,1,77639.6,71343.16,CA,1
578,385828.25,463061.54,621111,2,1,1,6,1,190222.16,15.047,14.8692,4,1,2,Partnership,4,32.6,3,4,100810.86,93370.71,OH,1
