"schema","table","column","datatype"
nls,cif_detail,cifno,numeric
nls,loanacct_payment_history,row_id,numeric
nls,nlsusers,userno,numeric
nls,loan_transaction_codes,transaction_code,numeric
nls,loanacct_detail,userdef01,character varying
nls,loanacct_gl_trans,row_id,numeric
nls,loanacct,acctrefno,numeric
nls,cdfi,cdfiid,numeric
nls,daily_trial_balance,row_id,numeric
nls,relationship_codes,relationship_code_id,numeric
nls,cif_detail,userdef01,character varying
nls,loanacct_payment_history,acctrefno,numeric
nls,nlsusers,signonid,character varying
nls,loan_transaction_codes,transaction_description,character varying
nls,loanacct_detail,acctrefno,numeric
nls,loanacct_gl_trans,acctrefno,numeric
nls,loanacct,loan_type,numeric
nls,cdfi,cifno,numeric
nls,daily_trial_balance,acctrefno,numeric
nls,relationship_codes,relationship_type,numeric
nls,cif_detail,userdef02,character varying
nls,loanacct_payment_history,payment_reference_no,numeric
nls,nlsusers,username,character varying
nls,loan_transaction_codes,statement_description,character varying
nls,loanacct_detail,userdef02,character varying
nls,loanacct_gl_trans,disbursement_check_id,numeric
nls,loanacct,portfolio_code_id,numeric
nls,cdfi,minorityowned,numeric
nls,daily_trial_balance,risk_rating_no,numeric
nls,relationship_codes,relationship_code,character varying
nls,cif_detail,userdef03,character varying
nls,loanacct_payment_history,transaction_reference_no,numeric
nls,nlsusers,password,character varying
nls,loan_transaction_codes,loan_balance_1_affected,character varying
nls,loanacct_detail,userdef03,character varying
nls,loanacct_gl_trans,loan_group_no,numeric
nls,loanacct,loan_group_no,numeric
nls,cdfi,womanowned,numeric
nls,daily_trial_balance,status_code_no,numeric
nls,relationship_codes,field_order,numeric
nls,cif_detail,userdef04,character varying
nls,loanacct_payment_history,date_due,timestamp without time zone
nls,nlsusers,setupdate,timestamp without time zone
nls,loan_transaction_codes,transaction_classification,numeric
nls,loanacct_detail,userdef04,character varying
nls,loanacct_gl_trans,participantrefno,numeric
nls,loanacct,master_acctrefno,numeric
nls,cdfi,lowincomestatus,numeric
nls,daily_trial_balance,trial_balance_date,timestamp without time zone
nls,relationship_codes,relationship_code_description,character varying
nls,cif_detail,userdef05,character varying
nls,loanacct_payment_history,participant_reference_no,numeric
nls,nlsusers,dbapriv,numeric
nls,loan_transaction_codes,loan_balance_1_trans_type,character varying
nls,loanacct_detail,userdef05,character varying
nls,loanacct,pool_acctrefno,numeric
nls,cdfi,lowincomeowned,numeric
nls,loanacct_gl_trans,transrefno,numeric
nls,daily_trial_balance,loan_group_no,numeric
nls,relationship_codes,ecoa_code,character varying
nls,cif_detail,userdef06,character varying
nls,loanacct_payment_history,consolidated_reference_no,numeric
nls,nlsusers,userpwchange,numeric
nls,loan_transaction_codes,loan_balance_2_affected,character varying
nls,loanacct_detail,userdef06,character varying
nls,loanacct_gl_trans,transcode,numeric
nls,loanacct,restructured_acctrefno,numeric
nls,cdfi,hispanicorigin,numeric
nls,daily_trial_balance,participant_detail_flag,numeric
nls,relationship_codes,option_flags,numeric
nls,cif_detail,userdef07,character varying
nls,loanacct_payment_history,impound_id,numeric
nls,nlsusers,minpwlength,numeric
nls,loan_transaction_codes,loan_statistics_1_affected,character varying
nls,loanacct_detail,userdef07,character varying
nls,loanacct_gl_trans,transaction_date,timestamp without time zone
nls,loanacct,shadow_loan_exists,numeric
nls,cdfi,femaleheadhousehold,numeric
nls,daily_trial_balance,participantrefno,numeric
nls,relationship_codes,employer_type,numeric
nls,cif_detail,userdef08,character varying
nls,loanacct_payment_history,date_paid,timestamp without time zone
nls,nlsusers,periodicpwchange,numeric
nls,loan_transaction_codes,loan_stats_1_trans_type,character varying
nls,loanacct_detail,userdef08,character varying
nls,loanacct_gl_trans,effective_date,timestamp without time zone
nls,loanacct,cifno,numeric
nls,cdfi,firsttimehomebuyer,numeric
nls,daily_trial_balance,interest_rate,numeric
nls,relationship_codes,employer_active,numeric
nls,cif_detail,userdef09,character varying
